experiment_id,job_id,results_file,package_id,package_name,worker_id,config_id,replicate_no,setup_time,run_time,collect_time,hw_cpu_arch,hw_cpu_mhz,hw_num_cpus,hw_page_sz,hw_ram_sz,sw_address_randomization,sw_autogroup,sw_compiler,sw_drop_caches,sw_env_padding,sw_filesystem,sw_freq_scaling,sw_link_order,sw_opt_flag,sw_swap,config,NO_ASM,NO_8X8DCT,NO_CABAC,NO_DEBLOCK,NO_FAST_PSKIP,NO_MBTREE,NO_MIXED_REFS,NO_WEIGHTB,RC_LOOKAHEAD,REF,size,time
326,30166,30166.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,104,0,430,337.572673082352,113.7310090065,0.170427083969116,i686,1800,1,4096,514076,on,off,gcc,off,0,ext4,off,default,-O2,on,86,--no-asm,,,,--no-fast-pskip,--no-mbtree,--no-mixed-refs,,--rc-lookahead-20,--ref-9,568,113.57
326,41945,41945.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,88,0,697,182.137256145477,55.6287591457367,0.117642879486084,i686,1700,1,4096,1001368,on,off,gcc,off,0,ext4,off,default,-O2,on,139,--no-asm,,,--no-deblock,--no-fast-pskip,,--no-mixed-refs,,--rc-lookahead-40,--ref-5,304,55.52
326,38197,38197.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,91,0,1266,286.177039146423,43.504937171936,0.159990072250366,i686,2400,1,4096,1033092,on,off,gcc,off,0,ext4,off,default,-O2,on,253,--no-asm,,,--no-deblock,,--no-mbtree,--no-mixed-refs,--no-weightb,--rc-lookahead-60,--ref-1,584,43.36
326,41556,41556.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,88,0,308,182.495126962662,97.998349905014,0.11652398109436,i686,1700,1,4096,1001368,on,off,gcc,off,0,ext4,off,default,-O2,on,61,--no-asm,,,,--no-fast-pskip,,,,--rc-lookahead-60,--ref-9,304,97.9
326,31114,31114.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,104,0,1378,333.090810060501,57.3831748962402,0.160413980484009,i686,1800,1,4096,514076,on,off,gcc,off,0,ext4,off,default,-O2,on,275,--no-asm,,,--no-deblock,,--no-mbtree,--no-mixed-refs,,--rc-lookahead-20,--ref-1,584,57.22
326,37176,37176.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,91,0,245,284.470435857773,80.2129290103912,0.183375120162964,i686,2400,1,4096,1033092,on,off,gcc,off,0,ext4,off,default,-O2,on,49,--no-asm,,,--no-deblock,,--no-mbtree,--no-mixed-refs,,--rc-lookahead-40,--ref-9,576,80.05
326,41442,41442.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,88,0,194,184.982950210571,74.1365869045258,0.141515970230103,i686,1700,1,4096,1001368,on,off,gcc,off,0,ext4,off,default,-O2,on,38,--no-asm,,,--no-deblock,--no-fast-pskip,,--no-mixed-refs,,--rc-lookahead-40,--ref-9,304,74.03
326,31040,31040.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,104,0,1304,338.933021068573,48.4365010261536,0.210695028305054,i686,1800,1,4096,514076,on,off,gcc,off,0,ext4,off,default,-O2,on,260,--no-asm,,,,--no-fast-pskip,,--no-mixed-refs,,--rc-lookahead-60,--ref-1,300,48.28
326,42665,42665.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,88,0,1417,185.508881807327,55.6700119972229,0.125961065292358,i686,1700,1,4096,1001368,on,off,gcc,off,0,ext4,off,default,-O2,on,283,--no-asm,,,--no-deblock,--no-fast-pskip,,--no-mixed-refs,--no-weightb,--rc-lookahead-40,--ref-5,304,55.56
326,37321,37321.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,91,0,390,284.14940905571,43.471971988678,0.133373975753784,i686,2400,1,4096,1033092,on,off,gcc,off,0,ext4,off,default,-O2,on,78,--no-asm,,,--no-deblock,,--no-mbtree,,--no-weightb,--rc-lookahead-60,--ref-1,584,43.35
326,31051,31051.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,104,0,1315,335.05622792244,147.407685995102,0.170415163040161,i686,1800,1,4096,514076,on,off,gcc,off,0,ext4,off,default,-O2,on,263,--no-asm,,,--no-deblock,,--no-mbtree,,,--rc-lookahead-60,--ref-9,580,147.25
326,42423,42423.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,88,0,1175,182.16007399559,83.238532781601,0.124840021133423,i686,1700,1,4096,1001368,on,off,gcc,off,0,ext4,off,default,-O2,on,235,--no-asm,,,--no-deblock,,,,--no-weightb,--rc-lookahead-20,--ref-9,296,83.12
326,37820,37820.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,91,0,889,277.175585985184,64.0386118888855,0.16671085357666,i686,2400,1,4096,1033092,on,off,gcc,off,0,ext4,off,default,-O2,on,177,--no-asm,,,,,,--no-mixed-refs,--no-weightb,--rc-lookahead-60,--ref-9,288,63.91
326,41996,41996.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,88,0,748,181.900310993195,42.7241778373718,0.117594957351685,i686,1700,1,4096,1001368,on,off,gcc,off,0,ext4,off,default,-O2,on,149,--no-asm,,,--no-deblock,--no-fast-pskip,--no-mbtree,,--no-weightb,--rc-lookahead-20,--ref-1,588,42.61
326,29981,29981.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,104,0,245,333.330150127411,102.024260997772,0.170506000518799,i686,1800,1,4096,514076,on,off,gcc,off,0,ext4,off,default,-O2,on,49,--no-asm,,,--no-deblock,,--no-mbtree,--no-mixed-refs,,--rc-lookahead-40,--ref-9,576,101.86
326,41857,41857.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,88,0,609,182.373351812363,55.8105080127716,0.125962018966675,i686,1700,1,4096,1001368,on,off,gcc,off,0,ext4,off,default,-O2,on,121,--no-asm,,,,--no-fast-pskip,,--no-mixed-refs,--no-weightb,--rc-lookahead-40,--ref-5,300,55.7
326,37439,37439.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,91,0,508,282.368927001953,62.6805489063263,0.15838098526001,i686,2400,1,4096,1033092,on,off,gcc,off,0,ext4,off,default,-O2,on,101,--no-asm,,,--no-deblock,,,,,--rc-lookahead-60,--ref-5,296,62.55
326,30392,30392.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,104,0,656,334.134473085403,56.4387269020081,0.210556983947754,i686,1800,1,4096,514076,on,off,gcc,off,0,ext4,off,default,-O2,on,131,--no-asm,,,--no-deblock,,--no-mbtree,,--no-weightb,--rc-lookahead-20,--ref-1,584,56.3
326,42663,42663.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,88,0,1415,183.038945913315,55.6272051334381,0.126021146774292,i686,1700,1,4096,1001368,on,off,gcc,off,0,ext4,off,default,-O2,on,283,--no-asm,,,--no-deblock,--no-fast-pskip,,--no-mixed-refs,--no-weightb,--rc-lookahead-40,--ref-5,304,55.52
326,38252,38252.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,91,0,1321,280.350405931473,36.6134099960327,0.158385038375854,i686,2400,1,4096,1033092,on,off,gcc,off,0,ext4,off,default,-O2,on,264,--no-asm,,,,--no-fast-pskip,,,--no-weightb,--rc-lookahead-60,--ref-1,300,36.47
326,31155,31155.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,104,0,1419,332.999820232391,72.7176690101624,0.180532932281494,i686,1800,1,4096,514076,on,off,gcc,off,0,ext4,off,default,-O2,on,283,--no-asm,,,--no-deblock,--no-fast-pskip,,--no-mixed-refs,--no-weightb,--rc-lookahead-40,--ref-5,304,72.56
326,42038,42038.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,88,0,790,182.025526046753,34.0527720451355,0.117645025253296,i686,1700,1,4096,1001368,on,off,gcc,off,0,ext4,off,default,-O2,on,158,--no-asm,,,,,,,,--rc-lookahead-40,--ref-1,292,33.94
326,37739,37739.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,91,0,808,277.479120016098,87.8450379371643,0.158379077911377,i686,2400,1,4096,1033092,on,off,gcc,off,0,ext4,off,default,-O2,on,161,--no-asm,,,,--no-fast-pskip,--no-mbtree,--no-mixed-refs,,--rc-lookahead-40,--ref-9,568,87.71000000000001
326,42057,42057.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,88,0,809,182.38731098175,82.4146311283112,0.124804019927979,i686,1700,1,4096,1001368,on,off,gcc,off,0,ext4,off,default,-O2,on,161,--no-asm,,,,--no-fast-pskip,--no-mbtree,--no-mixed-refs,,--rc-lookahead-40,--ref-9,568,82.31
326,31049,31049.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,104,0,1313,334.861155986786,58.2337131500244,0.180436134338379,i686,1800,1,4096,514076,on,off,gcc,off,0,ext4,off,default,-O2,on,262,--no-asm,,,,--no-fast-pskip,--no-mbtree,--no-mixed-refs,,--rc-lookahead-20,--ref-1,576,58.08
326,41683,41683.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,88,0,435,182.14404296875,99.3182890415192,0.11654806137085,i686,1700,1,4096,1001368,on,off,gcc,off,0,ext4,off,default,-O2,on,87,--no-asm,,,--no-deblock,--no-fast-pskip,,,--no-weightb,--rc-lookahead-20,--ref-9,308,99.2
326,37156,37156.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,91,0,225,281.554310083389,49.0317921638489,0.141704082489014,i686,2400,1,4096,1033092,on,off,gcc,off,0,ext4,off,default,-O2,on,45,--no-asm,,,--no-deblock,,,--no-mixed-refs,--no-weightb,--rc-lookahead-60,--ref-5,292,48.91
326,30719,30719.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,104,0,983,333.797847032547,80.8604829311371,0.170433044433594,i686,1800,1,4096,514076,on,off,gcc,off,0,ext4,off,default,-O2,on,196,--no-asm,,,--no-deblock,,,,--no-weightb,--rc-lookahead-20,--ref-5,296,80.71000000000001
326,41620,41620.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,88,0,372,182.108720779419,33.9198341369629,0.134267091751099,i686,1700,1,4096,1001368,on,off,gcc,off,0,ext4,off,default,-O2,on,74,--no-asm,,,--no-deblock,,,,,--rc-lookahead-40,--ref-1,300,33.81
326,37250,37250.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,91,0,319,280.121954202652,104.510619878769,0.151702165603638,i686,2400,1,4096,1033092,on,off,gcc,off,0,ext4,off,default,-O2,on,63,--no-asm,,,--no-deblock,--no-fast-pskip,,,,--rc-lookahead-60,--ref-9,308,104.38
326,29983,29983.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,104,0,247,334.682951927185,101.824193954468,0.160344123840332,i686,1800,1,4096,514076,on,off,gcc,off,0,ext4,off,default,-O2,on,49,--no-asm,,,--no-deblock,,--no-mbtree,--no-mixed-refs,,--rc-lookahead-40,--ref-9,576,101.68
326,42604,42604.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,88,0,1356,182.343458890915,42.7170400619507,0.12483811378479,i686,1700,1,4096,1001368,on,off,gcc,off,0,ext4,off,default,-O2,on,271,--no-asm,,,--no-deblock,--no-fast-pskip,--no-mbtree,--no-mixed-refs,,--rc-lookahead-20,--ref-1,588,42.6
326,37658,37658.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,91,0,727,281.335459947586,86.4173269271851,0.158390998840332,i686,2400,1,4096,1033092,on,off,gcc,off,0,ext4,off,default,-O2,on,145,--no-asm,,,--no-deblock,,,,,--rc-lookahead-20,--ref-9,296,86.27
326,42620,42620.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,88,0,1372,182.281665086746,74.2263648509979,0.124871015548706,i686,1700,1,4096,1001368,on,off,gcc,off,0,ext4,off,default,-O2,on,274,--no-asm,,,--no-deblock,,--no-mbtree,--no-mixed-refs,,--rc-lookahead-20,--ref-9,576,74.11
326,30450,30450.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,104,0,714,335.03870010376,45.716854095459,0.161828994750977,i686,1800,1,4096,514076,on,off,gcc,off,0,ext4,off,default,-O2,on,142,--no-asm,,,--no-deblock,,,,--no-weightb,--rc-lookahead-40,--ref-1,300,45.53
326,41278,41278.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,88,0,30,183.129240989685,71.4992790222168,0.124842882156372,i686,1700,1,4096,1001368,on,off,gcc,off,0,ext4,off,default,-O2,on,6,--no-asm,,,--no-deblock,--no-fast-pskip,,,--no-weightb,--rc-lookahead-60,--ref-5,308,71.4
326,37935,37935.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,91,0,1004,282.355343103409,59.5963170528412,0.15839695930481,i686,2400,1,4096,1033092,on,off,gcc,off,0,ext4,off,default,-O2,on,200,--no-asm,,,--no-deblock,,--no-mbtree,--no-mixed-refs,,--rc-lookahead-40,--ref-5,572,59.43
326,30995,30995.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,104,0,1259,335.52655005455,57.1609442234039,0.160404920578003,i686,1800,1,4096,514076,on,off,gcc,off,0,ext4,off,default,-O2,on,251,--no-asm,,,,,--no-mbtree,,,--rc-lookahead-40,--ref-1,576,57.01
326,41291,41291.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,88,0,43,181.815304040909,74.2429559230804,0.124811887741089,i686,1700,1,4096,1001368,on,off,gcc,off,0,ext4,off,default,-O2,on,8,--no-asm,,,--no-deblock,,--no-mbtree,--no-mixed-refs,--no-weightb,--rc-lookahead-20,--ref-9,576,74.14
326,38003,38003.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,91,0,1072,281.145313024521,82.1292359828949,0.166683912277222,i686,2400,1,4096,1033092,on,off,gcc,off,0,ext4,off,default,-O2,on,214,--no-asm,,,--no-deblock,,--no-mbtree,,--no-weightb,--rc-lookahead-60,--ref-5,576,81.98
326,29756,29756.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,104,0,20,333.019945859909,62.1957831382751,0.161807060241699,i686,1800,1,4096,514076,on,off,gcc,off,0,ext4,off,default,-O2,on,4,--no-asm,,,,,,--no-mixed-refs,,--rc-lookahead-20,--ref-5,288,62.06
326,41327,41327.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,88,0,79,182.483183860779,79.7563698291779,0.116533994674683,i686,1700,1,4096,1001368,on,off,gcc,off,0,ext4,off,default,-O2,on,15,--no-asm,,,--no-deblock,,--no-mbtree,,,--rc-lookahead-40,--ref-5,576,79.66
326,41302,41302.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,88,0,54,183.08894109726,34.0455191135406,0.116472005844116,i686,1700,1,4096,1001368,on,off,gcc,off,0,ext4,off,default,-O2,on,10,--no-asm,,,--no-deblock,,,--no-mixed-refs,--no-weightb,--rc-lookahead-60,--ref-1,300,33.94
326,37944,37944.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,91,0,1013,278.976073026657,76.5632450580597,0.158380031585693,i686,2400,1,4096,1033092,on,off,gcc,off,0,ext4,off,default,-O2,on,202,--no-asm,,,--no-deblock,--no-fast-pskip,,--no-mixed-refs,,--rc-lookahead-20,--ref-9,304,76.42
326,29906,29906.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,104,0,170,333.291940927505,145.965776205063,0.200507164001465,i686,1800,1,4096,514076,on,off,gcc,off,0,ext4,off,default,-O2,on,34,--no-asm,,,,,--no-mbtree,,,--rc-lookahead-20,--ref-9,568,145.82
326,41536,41536.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,88,0,288,182.675689220428,60.7078049182892,0.124905824661255,i686,1700,1,4096,1001368,on,off,gcc,off,0,ext4,off,default,-O2,on,57,--no-asm,,,,,,,,--rc-lookahead-20,--ref-5,288,60.61
326,37724,37724.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,91,0,793,279.856975078583,35.0064389705658,0.158375978469849,i686,2400,1,4096,1033092,on,off,gcc,off,0,ext4,off,default,-O2,on,158,--no-asm,,,,,,,,--rc-lookahead-40,--ref-1,292,34.87
326,30511,30511.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,104,0,775,334.736167907715,157.721519947052,0.170440196990967,i686,1800,1,4096,514076,on,off,gcc,off,0,ext4,off,default,-O2,on,155,--no-asm,,,--no-deblock,--no-fast-pskip,--no-mbtree,,--no-weightb,--rc-lookahead-60,--ref-9,580,157.46
326,42307,42307.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,88,0,1059,182.825833082199,99.5102910995483,0.116529941558838,i686,1700,1,4096,1001368,on,off,gcc,off,0,ext4,off,default,-O2,on,211,--no-asm,,,--no-deblock,--no-fast-pskip,,,--no-weightb,--rc-lookahead-60,--ref-9,308,99.41
326,37147,37147.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,91,0,216,280.427253007889,36.2722039222717,0.183373212814331,i686,2400,1,4096,1033092,on,off,gcc,off,0,ext4,off,default,-O2,on,43,--no-asm,,,,--no-fast-pskip,,--no-mixed-refs,,--rc-lookahead-20,--ref-1,300,36.09
326,42286,42286.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,88,0,1038,182.947751045227,98.0383059978485,0.125903129577637,i686,1700,1,4096,1001368,on,off,gcc,off,0,ext4,off,default,-O2,on,207,--no-asm,,,,--no-fast-pskip,,,--no-weightb,--rc-lookahead-60,--ref-9,304,97.92
326,30971,30971.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,104,0,1235,335.181916952133,106.980408906937,0.160400867462158,i686,1800,1,4096,514076,on,off,gcc,off,0,ext4,off,default,-O2,on,247,--no-asm,,,--no-deblock,,--no-mbtree,,,--rc-lookahead-20,--ref-5,576,106.78999999999999
