"target.machine","scale.size","75_15","75_20","75_25","99_15","99_20","99_25","125_15","125_20","125_25","157_15","157_20","157_25"
75,5,"6.9$\pm$0.9","7.7$\pm$0.8","8.1$\pm$0.7","8.0$\pm$1.1","7.7$\pm$1.0","7.7$\pm$1.0","7.4$\pm$0.8","8.0$\pm$0.9","8.0$\pm$0.8","8.3$\pm$0.9","7.9$\pm$0.9","8.7$\pm$0.9"
75,10,"7.2$\pm$1.1","7.8$\pm$1.1","8.4$\pm$1.3","8.3$\pm$1.1","8.6$\pm$0.9","8.0$\pm$1.2","7.4$\pm$0.9","7.7$\pm$0.9","8.3$\pm$1.0","8.1$\pm$1.0","8.8$\pm$0.8","8.1$\pm$1.0"
75,15,"7.2$\pm$0.9","8.4$\pm$0.8","7.7$\pm$1.1","7.4$\pm$0.9","8.4$\pm$0.8","8.0$\pm$0.9","7.9$\pm$0.8","8.2$\pm$0.8","8.9$\pm$0.8","7.6$\pm$0.8","8.0$\pm$0.8","8.1$\pm$0.7"
99,5,"7.0$\pm$0.8","7.9$\pm$0.8","8.8$\pm$1.0","7.4$\pm$0.8","8.3$\pm$1.5","8.3$\pm$0.9","8.5$\pm$2.3","8.5$\pm$0.9","8.4$\pm$1.0","8.0$\pm$1.0","8.0$\pm$0.9","8.1$\pm$1.2"
99,10,"7.8$\pm$0.6","8.5$\pm$0.9","8.7$\pm$1.2","7.9$\pm$1.0","8.2$\pm$1.1","8.3$\pm$1.1","7.6$\pm$0.8","7.6$\pm$0.7","8.8$\pm$1.0","8.4$\pm$1.1","7.8$\pm$1.1","8.0$\pm$0.9"
99,15,"7.6$\pm$0.9","7.8$\pm$0.9","8.1$\pm$1.0","7.5$\pm$0.9","8.2$\pm$0.9","8.1$\pm$0.8","7.8$\pm$0.8","7.9$\pm$0.9","8.5$\pm$1.0","8.0$\pm$0.8","7.6$\pm$0.9","8.4$\pm$1.2"
125,5,"7.7$\pm$1.1","7.9$\pm$0.7","8.0$\pm$0.9","8.4$\pm$1.0","7.1$\pm$0.5","8.1$\pm$0.8","8.2$\pm$0.9","8.3$\pm$1.2","8.2$\pm$1.0","8.1$\pm$0.8","7.9$\pm$0.8","8.1$\pm$1.0"
125,10,"7.8$\pm$0.8","7.9$\pm$1.2","8.4$\pm$0.9","7.7$\pm$0.9","8.0$\pm$0.8","8.1$\pm$1.1","7.9$\pm$1.2","8.1$\pm$1.1","8.6$\pm$1.2","7.6$\pm$0.8","7.9$\pm$0.9","8.6$\pm$1.1"
125,15,"8.1$\pm$1.0","8.3$\pm$0.9","8.0$\pm$1.0","8.5$\pm$1.0","7.9$\pm$1.4","8.2$\pm$0.8","7.8$\pm$0.8","8.0$\pm$0.9","8.8$\pm$1.0","7.5$\pm$0.8","7.7$\pm$0.9","8.3$\pm$1.0"
157,5,"7.9$\pm$0.7","8.4$\pm$0.8","8.3$\pm$1.0","7.9$\pm$1.0","8.4$\pm$0.8","7.4$\pm$0.7","8.1$\pm$0.8","7.9$\pm$0.9","7.8$\pm$0.9","7.6$\pm$0.7","7.7$\pm$1.1","8.0$\pm$1.1"
157,10,"7.9$\pm$1.1","7.6$\pm$0.9","8.7$\pm$0.6","7.3$\pm$0.6","7.8$\pm$0.8","8.2$\pm$0.8","7.6$\pm$0.9","8.3$\pm$1.0","8.0$\pm$1.1","8.1$\pm$0.9","8.6$\pm$1.0","8.2$\pm$1.0"
157,15,"7.3$\pm$0.9","7.7$\pm$0.8","7.8$\pm$0.9","7.6$\pm$1.2","7.7$\pm$0.8","8.0$\pm$0.9","7.4$\pm$1.0","8.1$\pm$0.7","8.3$\pm$1.0","7.4$\pm$0.9","7.9$\pm$0.9","7.9$\pm$1.0"
