"train","var","n"
75,"NO_DEBLOCK",346
75,"NO_FAST_PSKIP",233
75,"NO_MBTREE",164
75,"NO_MIXED_REFS",162
75,"NO_WEIGHTB",207
75,"X..rc.lookahead.20",169
75,"X..rc.lookahead.40",99
75,"X..rc.lookahead.60",93
75,"X..ref.1",42
75,"X..ref.5",28
75,"X..ref.9",40
81,"NO_DEBLOCK",363
81,"NO_FAST_PSKIP",275
81,"NO_MBTREE",195
81,"NO_MIXED_REFS",142
81,"NO_WEIGHTB",180
81,"X..rc.lookahead.20",113
81,"X..rc.lookahead.40",108
81,"X..rc.lookahead.60",99
81,"X..ref.1",39
81,"X..ref.5",26
81,"X..ref.9",41
88,"NO_DEBLOCK",334
88,"NO_FAST_PSKIP",251
88,"NO_MBTREE",175
88,"NO_MIXED_REFS",153
88,"NO_WEIGHTB",224
88,"X..rc.lookahead.20",160
88,"X..rc.lookahead.40",115
88,"X..rc.lookahead.60",65
88,"X..ref.1",46
88,"X..ref.5",29
88,"X..ref.9",33
91,"NO_DEBLOCK",352
91,"NO_FAST_PSKIP",237
91,"NO_MBTREE",175
91,"NO_MIXED_REFS",161
91,"NO_WEIGHTB",226
91,"X..rc.lookahead.20",149
91,"X..rc.lookahead.40",103
91,"X..rc.lookahead.60",100
91,"X..ref.1",28
91,"X..ref.5",25
91,"X..ref.9",44
97,"NO_DEBLOCK",369
97,"NO_FAST_PSKIP",226
97,"NO_MBTREE",172
97,"NO_MIXED_REFS",154
97,"NO_WEIGHTB",230
97,"X..rc.lookahead.20",140
97,"X..rc.lookahead.40",105
97,"X..rc.lookahead.60",78
97,"X..ref.1",37
97,"X..ref.5",45
97,"X..ref.9",34
98,"NO_DEBLOCK",360
98,"NO_FAST_PSKIP",245
98,"NO_MBTREE",168
98,"NO_MIXED_REFS",157
98,"NO_WEIGHTB",218
98,"X..rc.lookahead.20",162
98,"X..rc.lookahead.40",85
98,"X..rc.lookahead.60",94
98,"X..ref.1",39
98,"X..ref.5",28
98,"X..ref.9",39
103,"NO_DEBLOCK",333
103,"NO_FAST_PSKIP",233
103,"NO_MBTREE",171
103,"NO_MIXED_REFS",186
103,"NO_WEIGHTB",229
103,"X..rc.lookahead.20",164
103,"X..rc.lookahead.40",96
103,"X..rc.lookahead.60",88
103,"X..ref.1",29
103,"X..ref.5",28
103,"X..ref.9",42
104,"NO_DEBLOCK",359
104,"NO_FAST_PSKIP",247
104,"NO_MBTREE",174
104,"NO_MIXED_REFS",163
104,"NO_WEIGHTB",231
104,"X..rc.lookahead.20",136
104,"X..rc.lookahead.40",94
104,"X..rc.lookahead.60",84
104,"X..ref.1",34
104,"X..ref.5",36
104,"X..ref.9",38
105,"NO_DEBLOCK",368
105,"NO_FAST_PSKIP",230
105,"NO_MBTREE",177
105,"NO_MIXED_REFS",147
105,"NO_WEIGHTB",214
105,"X..rc.lookahead.20",165
105,"X..rc.lookahead.40",111
105,"X..rc.lookahead.60",78
105,"X..ref.1",32
105,"X..ref.5",31
105,"X..ref.9",41
106,"NO_DEBLOCK",351
106,"NO_FAST_PSKIP",226
106,"NO_MBTREE",180
106,"NO_MIXED_REFS",158
106,"NO_WEIGHTB",223
106,"X..rc.lookahead.20",158
106,"X..rc.lookahead.40",123
106,"X..rc.lookahead.60",82
106,"X..ref.1",42
106,"X..ref.5",22
106,"X..ref.9",34
128,"NO_DEBLOCK",350
128,"NO_FAST_PSKIP",250
128,"NO_MBTREE",168
128,"NO_MIXED_REFS",131
128,"NO_WEIGHTB",248
128,"X..rc.lookahead.20",129
128,"X..rc.lookahead.40",107
128,"X..rc.lookahead.60",103
128,"X..ref.1",39
128,"X..ref.5",33
128,"X..ref.9",42
